customer_id,customer_name,country,risk_rating,kyc_status,customer_type,onboarding_channel
cust1,Customer_1,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust2,Customer_2,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust3,Customer_3,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust4,Customer_4,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust5,Customer_5,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust6,Customer_6,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust7,Customer_7,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust8,Customer_8,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust9,Customer_9,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust10,Customer_10,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust11,Customer_11,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust12,Customer_12,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust13,Customer_13,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust14,Customer_14,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust15,Customer_15,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust16,Customer_16,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust17,Customer_17,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust18,Customer_18,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust19,Customer_19,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust20,Customer_20,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust21,Customer_21,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust22,Customer_22,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust23,Customer_23,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust24,Customer_24,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust25,Customer_25,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust26,Customer_26,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust27,Customer_27,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust28,Customer_28,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust29,Customer_29,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust30,Customer_30,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust31,Customer_31,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust32,Customer_32,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust33,Customer_33,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust34,Customer_34,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust35,Customer_35,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust36,Customer_36,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust37,Customer_37,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust38,Customer_38,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust39,Customer_39,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust40,Customer_40,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust41,Customer_41,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust42,Customer_42,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust43,Customer_43,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust44,Customer_44,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust45,Customer_45,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust46,Customer_46,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust47,Customer_47,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust48,Customer_48,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust49,Customer_49,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust50,Customer_50,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust51,Customer_51,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust52,Customer_52,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust53,Customer_53,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
cust54,Customer_54,IN,HIGH,COMPLETED,INDIVIDUAL,BRANCH
cust55,Customer_55,IN,LOW,COMPLETED,INDIVIDUAL,BRANCH
cust56,Customer_56,IN,MEDIUM,COMPLETED,INDIVIDUAL,BRANCH
