transaction_id,customer_id,transaction_type,transaction_amount,transaction_currency,transaction_date,channel,country,alert_flag,source_system
tran1d1,cust1,TRANSFER,1000,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d2,cust2,TRANSFER,1010,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d3,cust3,TRANSFER,1020,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d4,cust4,TRANSFER,1030,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d5,cust5,TRANSFER,1040,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d6,cust6,TRANSFER,1050,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d7,cust7,TRANSFER,1060,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d8,cust8,TRANSFER,1070,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d9,cust9,TRANSFER,1080,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d10,cust10,TRANSFER,1090,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d11,cust11,TRANSFER,1100,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d12,cust12,TRANSFER,1110,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d13,cust13,TRANSFER,1120,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d14,cust14,TRANSFER,1130,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d15,cust15,TRANSFER,1140,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d16,cust16,TRANSFER,1150,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d17,cust17,TRANSFER,1160,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d18,cust18,TRANSFER,1170,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d19,cust19,TRANSFER,1180,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d20,cust20,TRANSFER,1190,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d21,cust21,TRANSFER,1200,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d22,cust22,TRANSFER,1210,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d23,cust23,TRANSFER,1220,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d24,cust24,TRANSFER,1230,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d25,cust25,TRANSFER,1240,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d26,cust26,TRANSFER,1250,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d27,cust27,TRANSFER,1260,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d28,cust28,TRANSFER,1270,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d29,cust29,TRANSFER,1280,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d30,cust30,TRANSFER,1290,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d31,cust31,TRANSFER,1300,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d32,cust32,TRANSFER,1310,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d33,cust33,TRANSFER,1320,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d34,cust34,TRANSFER,1330,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d35,cust35,TRANSFER,1340,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d36,cust36,TRANSFER,1350,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d37,cust37,TRANSFER,1360,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d38,cust38,TRANSFER,1370,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d39,cust39,TRANSFER,1380,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d40,cust40,TRANSFER,1390,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d41,cust41,TRANSFER,1400,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d42,cust42,TRANSFER,1410,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d43,cust43,TRANSFER,1420,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d44,cust44,TRANSFER,1430,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d45,cust45,TRANSFER,1440,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d46,cust46,TRANSFER,1450,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d47,cust47,TRANSFER,1460,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d48,cust48,TRANSFER,1470,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d49,cust49,TRANSFER,1480,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d50,cust50,TRANSFER,1490,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d51,cust51,TRANSFER,1500,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d52,cust52,TRANSFER,1510,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d53,cust53,TRANSFER,1520,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d54,cust54,TRANSFER,1530,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d55,cust55,TRANSFER,1540,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d56,cust56,TRANSFER,1550,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d57,cust57,TRANSFER,1560,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d58,cust58,TRANSFER,1570,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d59,cust59,TRANSFER,1580,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d60,cust60,TRANSFER,1590,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d61,cust61,TRANSFER,1600,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d62,cust62,TRANSFER,1610,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d63,cust63,TRANSFER,1620,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d64,cust64,TRANSFER,1630,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d65,cust65,TRANSFER,1640,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d66,cust66,TRANSFER,1650,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d67,cust67,TRANSFER,1660,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d68,cust68,TRANSFER,1670,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d69,cust69,TRANSFER,1680,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d70,cust70,TRANSFER,1690,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d71,cust71,TRANSFER,1700,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d72,cust72,TRANSFER,1710,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d73,cust73,TRANSFER,1720,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d74,cust74,TRANSFER,1730,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d75,cust75,TRANSFER,1740,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d76,cust76,TRANSFER,1750,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d77,cust77,TRANSFER,1760,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d78,cust78,TRANSFER,1770,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d79,cust79,TRANSFER,1780,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d80,cust80,TRANSFER,1790,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d81,cust81,TRANSFER,1800,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d82,cust82,TRANSFER,1810,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d83,cust83,TRANSFER,1820,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d84,cust84,TRANSFER,1830,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d85,cust85,TRANSFER,1840,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d86,cust86,TRANSFER,1850,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d87,cust87,TRANSFER,1860,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d88,cust88,TRANSFER,1870,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d89,cust89,TRANSFER,1880,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d90,cust90,TRANSFER,1890,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d91,cust91,TRANSFER,1900,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d92,cust92,TRANSFER,1910,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d93,cust93,TRANSFER,1920,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d94,cust94,TRANSFER,1930,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d95,cust95,TRANSFER,1940,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d96,cust96,TRANSFER,1950,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d97,cust97,TRANSFER,1960,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d98,cust98,TRANSFER,1970,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d99,cust99,TRANSFER,1980,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d100,cust100,TRANSFER,1990,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d101,cust101,TRANSFER,2000,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d102,cust102,TRANSFER,2010,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d103,cust103,TRANSFER,2020,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d104,cust104,TRANSFER,2030,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d105,cust105,TRANSFER,2040,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d106,cust106,TRANSFER,2050,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d107,cust107,TRANSFER,2060,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d108,cust108,TRANSFER,2070,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d109,cust109,TRANSFER,2080,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d110,cust110,TRANSFER,2090,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d111,cust111,TRANSFER,2100,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d112,cust112,TRANSFER,2110,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d113,cust113,TRANSFER,2120,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d114,cust114,TRANSFER,2130,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d115,cust115,TRANSFER,2140,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d116,cust116,TRANSFER,2150,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d117,cust117,TRANSFER,2160,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d118,cust118,TRANSFER,2170,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d119,cust119,TRANSFER,2180,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d120,cust120,TRANSFER,2190,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d121,cust121,TRANSFER,2200,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d122,cust122,TRANSFER,2210,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d123,cust123,TRANSFER,2220,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
tran1d124,cust124,TRANSFER,2230,INR,2024-01-15,ONLINE,IN,N,CORE_BANKING
